Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/10000 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
 32%|███▏      | 3199/10000 [32:53<1:09:46,  1.62it/s]
total loss: 24.9190057182312 | trans loss: 10.811320991516114
total loss: 24.813752555847167 | trans loss: 10.798723526000977
total loss: 24.647764720916747 | trans loss: 10.774690647125244
total loss: 24.427044334411622 | trans loss: 10.736581649780273
total loss: 24.20359115600586 | trans loss: 10.6828125
total loss: 23.863918170928955 | trans loss: 10.60808277130127
total loss: 23.552328548431397 | trans loss: 10.520070714950561
total loss: 23.174359130859376 | trans loss: 10.41807138442993
total loss: 22.72813949584961 | trans loss: 10.30979100227356
total loss: 22.187598705291748 | trans loss: 10.19114824295044
total loss: 21.70848388671875 | trans loss: 10.066057233810424
total loss: 21.060997371673583 | trans loss: 9.925960702896118
total loss: 20.397661476135255 | trans loss: 9.777375612258911
total loss: 19.595467052459718 | trans loss: 9.611007652282716
total loss: 18.751828746795653 | trans loss: 9.406000728607177
total loss: 17.876118392944335 | trans loss: 9.197772140502929
total loss: 16.91114785194397 | trans loss: 8.974781694412231
total loss: 15.840987310409545 | trans loss: 8.735171689987183
total loss: 15.258035745620727 | trans loss: 8.450465536117553
total loss: 14.387182836532594 | trans loss: 8.19544138431549
total loss: 13.66028730392456 | trans loss: 7.956372132301331
total loss: 13.004016942977906 | trans loss: 7.7167433071136475
total loss: 12.37554141998291 | trans loss: 7.512725758552551
total loss: 12.024728412628173 | trans loss: 7.3036057567596435
total loss: 11.601412239074707 | trans loss: 7.101837401390076
total loss: 11.326526908874511 | trans loss: 6.962152752876282
total loss: 10.941568021774293 | trans loss: 6.7633966445922855
total loss: 10.804548759460449 | trans loss: 6.645391988754272
total loss: 10.467371377944946 | trans loss: 6.506404132843017
total loss: 10.284505014419556 | trans loss: 6.351604418754578
total loss: 10.137999124526978 | trans loss: 6.250176315307617
total loss: 10.001295709609986 | trans loss: 6.1749194669723515
total loss: 9.798913421630859 | trans loss: 6.037170186042785
total loss: 9.748319234848022 | trans loss: 5.971164493560791
total loss: 9.58770896911621 | trans loss: 5.898064651489258
total loss: 9.54764389038086 | trans loss: 5.888499121665955
total loss: 9.429529504776001 | trans loss: 5.778632106781006
total loss: 9.320084238052369 | trans loss: 5.643436336517334
total loss: 9.281407203674316 | trans loss: 5.672875194549561
total loss: 9.216039075851441 | trans loss: 5.560627875328064
total loss: 9.19588628768921 | trans loss: 5.558212018013
total loss: 9.114659013748168 | trans loss: 5.522531747817993
total loss: 9.047109107971192 | trans loss: 5.465766105651856
total loss: 9.01184395313263 | trans loss: 5.438588137626648
total loss: 8.995267190933227 | trans loss: 5.393074464797974
total loss: 8.95260528087616 | trans loss: 5.392494530677795
total loss: 8.898241424560547 | trans loss: 5.318648509979248
total loss: 8.881986675262452 | trans loss: 5.304329934120179
total loss: 8.81807625770569 | trans loss: 5.2577394676208495
total loss: 8.836450362205506 | trans loss: 5.247355694770813
total loss: 8.722239122390747 | trans loss: 5.190064387321472
total loss: 8.642657251358033 | trans loss: 5.165288214683533
total loss: 8.737875208854675 | trans loss: 5.1990019941329955
total loss: 8.633679275512696 | trans loss: 5.174827256202698
total loss: 8.614254531860352 | trans loss: 5.102548413276672
total loss: 8.510599422454835 | trans loss: 5.082930436134339
total loss: 8.573562169075013 | trans loss: 5.091021790504455
total loss: 8.622587838172912 | trans loss: 5.15201009273529
total loss: 8.453428544998168 | trans loss: 4.972841386795044
total loss: 8.464653801918029 | trans loss: 5.027153592109681
total loss: 8.430245232582092 | trans loss: 4.968193483352661
total loss: 8.444486341476441 | trans loss: 4.963382000923157
total loss: 8.352051062583923 | trans loss: 4.944042382240295
total loss: 8.300688300132752 | trans loss: 4.8664464139938355
total loss: 8.317779927253723 | trans loss: 4.896386590003967
total loss: 8.258977088928223 | trans loss: 4.8889716482162475
total loss: 8.263904933929444 | trans loss: 4.90012143611908
total loss: 8.307551498413085 | trans loss: 4.929159498214721
total loss: 8.201880927085876 | trans loss: 4.8794947576522825
total loss: 8.127675085067748 | trans loss: 4.841832046508789
total loss: 8.128085961341858 | trans loss: 4.8680578708648685
total loss: 8.05165834903717 | trans loss: 4.79247793674469
total loss: 8.078992395401 | trans loss: 4.828242197036743
total loss: 8.063037371635437 | trans loss: 4.813434438705444
total loss: 8.039739437103272 | trans loss: 4.81918511390686
total loss: 8.001349639892577 | trans loss: 4.786522550582886
total loss: 7.9188239908218385 | trans loss: 4.75445216178894
total loss: 7.944916191101075 | trans loss: 4.743355579376221
total loss: 7.87679856300354 | trans loss: 4.734176025390625
total loss: 7.790758404731751 | trans loss: 4.708876638412476
total loss: 7.803210906982422 | trans loss: 4.728169474601746
total loss: 7.85638943195343 | trans loss: 4.763117113113403
total loss: 7.759462170600891 | trans loss: 4.745798282623291
total loss: 7.664511866569519 | trans loss: 4.66978353023529
total loss: 7.643302597999573 | trans loss: 4.667473392486572
total loss: 7.598317112922668 | trans loss: 4.665750107765198
total loss: 7.551337618827819 | trans loss: 4.655049729347229
total loss: 7.599452748298645 | trans loss: 4.7029506826400755
total loss: 7.5465950727462765 | trans loss: 4.680348749160767
total loss: 7.570554618835449 | trans loss: 4.656992580890655
total loss: 7.517809243202209 | trans loss: 4.624987468719483
total loss: 7.507323312759399 | trans loss: 4.6894428300857545
