Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/10208 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/autograd/graph.py:841: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [36, 256, 1, 1], strides() = [256, 1, 256, 256]
bucket_view.sizes() = [36, 256, 1, 1], strides() = [256, 1, 1, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:334.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
 31%|███▏      | 3199/10208 [59:40<2:12:51,  1.14s/it]
total loss: 25.159971504211427 | trans loss: 10.815764493942261
total loss: 24.181756725311278 | trans loss: 10.731131286621094
total loss: 22.965391788482666 | trans loss: 10.565256576538086
total loss: 21.779771480560303 | trans loss: 10.348850069046021
total loss: 20.373817729949952 | trans loss: 10.074662427902222
total loss: 18.462880744934083 | trans loss: 9.705078992843628
total loss: 16.14287848472595 | trans loss: 9.216007976531982
total loss: 13.819797649383545 | trans loss: 8.609122581481934
total loss: 11.970576162338256 | trans loss: 7.9086327600479125
total loss: 10.950645980834961 | trans loss: 7.233559498786926
total loss: 10.159115705490112 | trans loss: 6.660252151489257
total loss: 9.580545272827148 | trans loss: 6.110144996643067
total loss: 9.285195350646973 | trans loss: 5.866621932983398
total loss: 9.028957538604736 | trans loss: 5.5752374982833866
total loss: 8.755951824188232 | trans loss: 5.3790196561813355
total loss: 8.625473818778993 | trans loss: 5.258773770332336
total loss: 8.385190205574036 | trans loss: 5.083770170211792
total loss: 8.345658531188965 | trans loss: 5.099010410308838
total loss: 7.951756725311279 | trans loss: 4.893577370643616
total loss: 7.857519426345825 | trans loss: 4.957501158714295
total loss: 7.6813421630859375 | trans loss: 4.877271671295166
total loss: 7.43831847190857 | trans loss: 4.833823456764221
total loss: 7.281613292694092 | trans loss: 4.762328062057495
total loss: 7.159265499114991 | trans loss: 4.770429773330688
total loss: 6.951524114608764 | trans loss: 4.680736513137817
total loss: 6.869186635017395 | trans loss: 4.6767628955841065
total loss: 6.796842927932739 | trans loss: 4.6717438220977785
