Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/16666 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/autograd/graph.py:841: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [36, 256, 1, 1], strides() = [256, 1, 256, 256]
bucket_view.sizes() = [36, 256, 1, 1], strides() = [256, 1, 1, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:334.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
 19%|█▉        | 3199/16666 [59:29<4:06:38,  1.10s/it]
total loss: 24.848632335662842 | trans loss: 10.81609839439392
total loss: 24.06783794403076 | trans loss: 10.732598037719727
total loss: 23.056776847839355 | trans loss: 10.523306922912598
total loss: 21.867210464477537 | trans loss: 10.246617650985717
total loss: 20.488132095336915 | trans loss: 9.912198848724366
total loss: 18.560998516082762 | trans loss: 9.487154226303101
total loss: 16.213089256286622 | trans loss: 8.947903928756714
total loss: 13.92975754737854 | trans loss: 8.332630686759948
total loss: 12.262647342681884 | trans loss: 7.710394816398621
total loss: 11.144842834472657 | trans loss: 7.131190142631531
total loss: 10.472425203323365 | trans loss: 6.60404935836792
total loss: 9.910209560394287 | trans loss: 6.169879474639893
total loss: 9.67806016921997 | trans loss: 5.9166885137557985
total loss: 9.352683086395263 | trans loss: 5.729022545814514
total loss: 9.094249324798584 | trans loss: 5.595227870941162
total loss: 8.960310621261597 | trans loss: 5.5164990949630734
total loss: 8.805204744338988 | trans loss: 5.408942918777466
total loss: 8.614021296501159 | trans loss: 5.318043251037597
total loss: 8.411584854125977 | trans loss: 5.2581726884841915
total loss: 8.254030718803406 | trans loss: 5.206995124816895
total loss: 8.078907899856567 | trans loss: 5.144961643218994
total loss: 8.007196688652039 | trans loss: 5.112587208747864
total loss: 7.76990237236023 | trans loss: 5.03551194190979
total loss: 7.685559706687927 | trans loss: 4.99935905456543
total loss: 7.482211809158326 | trans loss: 4.9566470861434935
total loss: 7.5267747163772585 | trans loss: 4.985566940307617
total loss: 7.298876824378968 | trans loss: 4.916730613708496
total loss: 7.188220462799072 | trans loss: 4.895967030525208
total loss: 7.114803113937378 | trans loss: 4.881085934638977
total loss: 7.1015491819381715 | trans loss: 4.874593644142151
total loss: 7.052168617248535 | trans loss: 4.834301400184631
total loss: 6.89178927898407 | trans loss: 4.778220891952515
total loss: 6.877703461647034 | trans loss: 4.8136873531341555
total loss: 6.836643514633178 | trans loss: 4.818996319770813
total loss: 6.796429266929627 | trans loss: 4.762670955657959
total loss: 6.650536861419678 | trans loss: 4.732520747184753
total loss: 6.556374721527099 | trans loss: 4.721015729904175
total loss: 6.576091017723083 | trans loss: 4.7387909317016605
total loss: 6.439861135482788 | trans loss: 4.669025959968567
total loss: 6.482227921485901 | trans loss: 4.683002729415893
total loss: 6.478893260955811 | trans loss: 4.709484176635742
total loss: 6.526793990135193 | trans loss: 4.734936537742615
total loss: 6.4233078765869145 | trans loss: 4.699663190841675
total loss: 6.317311215400696 | trans loss: 4.642327926158905
total loss: 6.345934996604919 | trans loss: 4.64723295211792
total loss: 6.404268369674683 | trans loss: 4.725196061134338
total loss: 6.298168458938599 | trans loss: 4.636328029632568
total loss: 6.315395665168762 | trans loss: 4.68874760389328
total loss: 6.2665026760101314 | trans loss: 4.664599304199219
total loss: 6.1749991512298585 | trans loss: 4.615947608947754
total loss: 6.210000033378601 | trans loss: 4.610074651241303
total loss: 6.113543710708618 | trans loss: 4.594808769226074
total loss: 6.138710741996765 | trans loss: 4.647676110267639
total loss: 6.163092641830445 | trans loss: 4.63428385257721
total loss: 6.08988778591156 | trans loss: 4.574736158847809
total loss: 6.1418465948104854 | trans loss: 4.612489876747131
total loss: 6.047137994766235 | trans loss: 4.593218989372254
total loss: 6.028826718330383 | trans loss: 4.603081560134887
total loss: 6.100575394630432 | trans loss: 4.632820649147034
total loss: 5.98796588420868 | trans loss: 4.569071049690247
total loss: 5.909969391822815 | trans loss: 4.567391490936279
total loss: 5.941972546577453 | trans loss: 4.559515986442566
total loss: 5.939052233695984 | trans loss: 4.532122082710266
total loss: 5.817685708999634 | trans loss: 4.528839330673218
total loss: 5.849362859725952 | trans loss: 4.517173171043396
total loss: 5.941642756462097 | trans loss: 4.595642383098602
total loss: 5.791670298576355 | trans loss: 4.526458163261413
total loss: 5.893388152122498 | trans loss: 4.548183765411377
total loss: 5.905103430747986 | trans loss: 4.586729567050934
total loss: 5.778587594032287 | trans loss: 4.5131290102005
total loss: 5.87754008769989 | trans loss: 4.551415069103241
total loss: 5.781981544494629 | trans loss: 4.517450106143952
total loss: 5.6927018642425535 | trans loss: 4.4885220408439634
total loss: 5.763501420021057 | trans loss: 4.516418800354004
total loss: 5.662398138046265 | trans loss: 4.471966965198517
total loss: 5.709592866897583 | trans loss: 4.467306780815124
total loss: 5.663237161636353 | trans loss: 4.487030568122864
total loss: 5.639585914611817 | trans loss: 4.474500849246978
total loss: 5.736099338531494 | trans loss: 4.5279981231689455
total loss: 5.722211766242981 | trans loss: 4.530112106800079
total loss: 5.603051047325135 | trans loss: 4.461646385192871
total loss: 5.679159631729126 | trans loss: 4.4921215891838076
total loss: 5.647723770141601 | trans loss: 4.468607745170593
total loss: 5.6016266679763795 | trans loss: 4.463545789718628
total loss: 5.609618406295777 | trans loss: 4.4638612174987795
total loss: 5.569737639427185 | trans loss: 4.428066020011902
total loss: 5.5351424980163575 | trans loss: 4.445431761741638
total loss: 5.537651281356812 | trans loss: 4.437458374500275
total loss: 5.5393412399291995 | trans loss: 4.400678558349609
total loss: 5.514014139175415 | trans loss: 4.438827953338623
total loss: 5.478061590194702 | trans loss: 4.4158360123634335
total loss: 5.575021886825562 | trans loss: 4.449995858669281
total loss: 5.538270907402039 | trans loss: 4.444564433097839
total loss: 5.534008092880249 | trans loss: 4.455197911262513
total loss: 5.505438947677613 | trans loss: 4.458572542667389
total loss: 5.486355443000793 | trans loss: 4.441391916275024
total loss: 5.473237986564636 | trans loss: 4.403716766834259
