Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/16666 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/autograd/graph.py:841: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [36, 256, 1, 1], strides() = [256, 1, 256, 256]
bucket_view.sizes() = [36, 256, 1, 1], strides() = [256, 1, 1, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:334.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
 19%|█▉        | 3199/16666 [59:18<4:12:00,  1.12s/it]
total loss: 25.127712745666503 | trans loss: 10.802934856414796
total loss: 24.31619592666626 | trans loss: 10.70007821083069
total loss: 23.23765047073364 | trans loss: 10.477454805374146
total loss: 22.030626525878905 | trans loss: 10.186082410812379
total loss: 20.51237897872925 | trans loss: 9.849535636901855
total loss: 18.664765129089357 | trans loss: 9.432151641845703
total loss: 16.268685302734376 | trans loss: 8.91625150680542
total loss: 13.911145973205567 | trans loss: 8.306211915016174
total loss: 12.249988145828247 | trans loss: 7.74963864326477
total loss: 11.144828052520753 | trans loss: 7.071636776924134
total loss: 10.449061298370362 | trans loss: 6.560464124679566
total loss: 9.967691144943238 | trans loss: 6.206105575561524
total loss: 9.549831533432007 | trans loss: 5.921384310722351
total loss: 9.387848949432373 | trans loss: 5.774505205154419
total loss: 9.15751561164856 | trans loss: 5.650717887878418
total loss: 8.966203742027282 | trans loss: 5.474117121696472
total loss: 8.744279618263244 | trans loss: 5.373222346305847
total loss: 8.70584806919098 | trans loss: 5.354496488571167
total loss: 8.52751100063324 | trans loss: 5.303328828811646
total loss: 8.411821475028992 | trans loss: 5.272929511070251
total loss: 8.138472876548768 | trans loss: 5.168608098030091
total loss: 7.9098490047454835 | trans loss: 5.097805652618408
total loss: 7.825395293235779 | trans loss: 5.1115326499938964
total loss: 7.68561861038208 | trans loss: 5.010456862449646
total loss: 7.605402722358703 | trans loss: 5.02776994228363
total loss: 7.368951420783997 | trans loss: 4.966856160163879
total loss: 7.256332960128784 | trans loss: 4.908949270248413
total loss: 7.221464581489563 | trans loss: 4.931511669158936
total loss: 7.167615132331848 | trans loss: 4.923752493858338
total loss: 7.101720767021179 | trans loss: 4.873532962799072
total loss: 6.856871747970581 | trans loss: 4.799744319915772
total loss: 6.776826753616333 | trans loss: 4.767207040786743
total loss: 6.807442264556885 | trans loss: 4.829762883186341
total loss: 6.814869451522827 | trans loss: 4.814521584510803
total loss: 6.676112642288208 | trans loss: 4.7512449312210085
total loss: 6.723263988494873 | trans loss: 4.761842112541199
total loss: 6.6018326330184935 | trans loss: 4.729299807548523
total loss: 6.626296353340149 | trans loss: 4.73303729057312
total loss: 6.572604479789734 | trans loss: 4.7527037572860715
total loss: 6.489591307640076 | trans loss: 4.726569738388061
total loss: 6.409345855712891 | trans loss: 4.694126563072205
total loss: 6.361279468536377 | trans loss: 4.661051545143128
total loss: 6.496810359954834 | trans loss: 4.734410119056702
