Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/10000 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/autograd/graph.py:841: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [64, 256, 1, 1], strides() = [256, 1, 256, 256]
bucket_view.sizes() = [64, 256, 1, 1], strides() = [256, 1, 1, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:334.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
 32%|███▏      | 3199/10000 [1:38:29<3:16:55,  1.74s/it]
total loss: 10.817660875320435 | trans loss: 10.817660875320435
total loss: 10.808982934951782 | trans loss: 10.808982934951782
total loss: 10.792092151641846 | trans loss: 10.792092151641846
total loss: 10.763562231063842 | trans loss: 10.763562231063842
total loss: 10.713305339813232 | trans loss: 10.713305339813232
total loss: 10.646067733764648 | trans loss: 10.646067733764648
total loss: 10.564840087890625 | trans loss: 10.564840087890625
total loss: 10.457405223846436 | trans loss: 10.457405223846436
total loss: 10.337671842575073 | trans loss: 10.337671842575073
total loss: 10.202794771194458 | trans loss: 10.202794771194458
total loss: 10.052071504592895 | trans loss: 10.052071504592895
total loss: 9.883762187957764 | trans loss: 9.883762187957764
total loss: 9.699825468063354 | trans loss: 9.699825468063354
total loss: 9.491536178588866 | trans loss: 9.491536178588866
total loss: 9.252603397369384 | trans loss: 9.252603397369384
total loss: 8.99764386177063 | trans loss: 8.99764386177063
total loss: 8.715104360580444 | trans loss: 8.715104360580444
total loss: 8.37437689781189 | trans loss: 8.37437689781189
total loss: 8.04836211681366 | trans loss: 8.04836211681366
total loss: 7.720922827720642 | trans loss: 7.720922827720642
total loss: 7.422537035942078 | trans loss: 7.422537035942078
total loss: 7.2042303466796875 | trans loss: 7.2042303466796875
total loss: 6.981101040840149 | trans loss: 6.981101040840149
total loss: 6.815317320823669 | trans loss: 6.815317320823669
total loss: 6.625699791908264 | trans loss: 6.625699791908264
total loss: 6.467295660972595 | trans loss: 6.467295660972595
total loss: 6.220532126426697 | trans loss: 6.220532126426697
