Start training ...
Rank [0], Epoch [0]: Training on train dataset
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 5 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
  0%|          | 0/10000 [00:00<?, ?it/s]/nfs/turbo/coe-chaijy-unreplicated/hongzefu/sam2act_historybench/sam2act/models/sam2act_agent.py:888: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than torch.tensor(sourceTensor).
  trans_aug_range=torch.tensor(self._transform_augmentation_xyz),  # 平移增强范围
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/autograd/graph.py:841: UserWarning: Grad strides do not match bucket view strides. This may indicate grad was not created according to the gradient layout contract, or that the param's strides changed since DDP was constructed.  This is not an error, but may impair performance.
grad.sizes() = [64, 256, 1, 1], strides() = [256, 1, 256, 256]
bucket_view.sizes() = [64, 256, 1, 1], strides() = [256, 1, 1, 1] (Triggered internally at /pytorch/torch/csrc/distributed/c10d/reducer.cpp:334.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
/home/hongzefu/micromamba/envs/sam2act/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:192: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn(
 32%|███▏      | 3199/10000 [1:33:45<3:19:56,  1.76s/it]
total loss: 5.7704500436782835 | trans loss: 5.7704500436782835
total loss: 5.618933835029602 | trans loss: 5.618933835029602
total loss: 5.271841540336609 | trans loss: 5.271841540336609
total loss: 5.010118594169617 | trans loss: 5.010118594169617
total loss: 4.784950060844421 | trans loss: 4.784950060844421
total loss: 4.673507413864136 | trans loss: 4.673507413864136
total loss: 4.600719523429871 | trans loss: 4.600719523429871
total loss: 4.503043103218078 | trans loss: 4.503043103218078
total loss: 4.514096202850342 | trans loss: 4.514096202850342
total loss: 4.444489872455597 | trans loss: 4.444489872455597
total loss: 4.384026417732239 | trans loss: 4.384026417732239
total loss: 4.399536392688751 | trans loss: 4.399536392688751
total loss: 4.375914409160614 | trans loss: 4.375914409160614
total loss: 4.3396774411201475 | trans loss: 4.3396774411201475
total loss: 4.334615390300751 | trans loss: 4.334615390300751
total loss: 4.322223064899444 | trans loss: 4.322223064899444
total loss: 4.283745136260986 | trans loss: 4.283745136260986
total loss: 4.245593676567077 | trans loss: 4.245593676567077
total loss: 4.308464958667755 | trans loss: 4.308464958667755
total loss: 4.272254059314728 | trans loss: 4.272254059314728
total loss: 4.2269535994529726 | trans loss: 4.2269535994529726
total loss: 4.239618184566498 | trans loss: 4.239618184566498
total loss: 4.2737625479698185 | trans loss: 4.2737625479698185
total loss: 4.2468451976776125 | trans loss: 4.2468451976776125
total loss: 4.21725148677826 | trans loss: 4.21725148677826
total loss: 4.199506549835205 | trans loss: 4.199506549835205
total loss: 4.205581982135772 | trans loss: 4.205581982135772
total loss: 4.174917373657227 | trans loss: 4.174917373657227
total loss: 4.2473080801963805 | trans loss: 4.2473080801963805
total loss: 4.164055874347687 | trans loss: 4.164055874347687
total loss: 4.205400972366333 | trans loss: 4.205400972366333
total loss: 4.167745940685272 | trans loss: 4.167745940685272
total loss: 4.17496652841568 | trans loss: 4.17496652841568
total loss: 4.1720050430297855 | trans loss: 4.1720050430297855
total loss: 4.177633512020111 | trans loss: 4.177633512020111
total loss: 4.139698076248169 | trans loss: 4.139698076248169
total loss: 4.1790671324729916 | trans loss: 4.1790671324729916
total loss: 4.184557948112488 | trans loss: 4.184557948112488
total loss: 4.143078804016113 | trans loss: 4.143078804016113
total loss: 4.097451684474945 | trans loss: 4.097451684474945
total loss: 4.10639773607254 | trans loss: 4.10639773607254
total loss: 4.100609037876129 | trans loss: 4.100609037876129
total loss: 4.125800030231476 | trans loss: 4.125800030231476
total loss: 4.121298642158508 | trans loss: 4.121298642158508
total loss: 4.112527842521668 | trans loss: 4.112527842521668
total loss: 4.12253603219986 | trans loss: 4.12253603219986
total loss: 4.109006774425507 | trans loss: 4.109006774425507
total loss: 4.087437798976898 | trans loss: 4.087437798976898
total loss: 4.104175448417664 | trans loss: 4.104175448417664
total loss: 4.074991269111633 | trans loss: 4.074991269111633
total loss: 4.108056561946869 | trans loss: 4.108056561946869
total loss: 4.129477732181549 | trans loss: 4.129477732181549
total loss: 4.080539829730988 | trans loss: 4.080539829730988
total loss: 4.068172149658203 | trans loss: 4.068172149658203
total loss: 4.141138453483581 | trans loss: 4.141138453483581
total loss: 4.076014981269837 | trans loss: 4.076014981269837
total loss: 4.07457560300827 | trans loss: 4.07457560300827
total loss: 4.08050171136856 | trans loss: 4.08050171136856
total loss: 4.0846888422966 | trans loss: 4.0846888422966
total loss: 4.09369371175766 | trans loss: 4.09369371175766
total loss: 4.033536627292633 | trans loss: 4.033536627292633
total loss: 4.064030356407166 | trans loss: 4.064030356407166
total loss: 4.129871292114258 | trans loss: 4.129871292114258
total loss: 4.091757307052612 | trans loss: 4.091757307052612
total loss: 4.035418894290924 | trans loss: 4.035418894290924
total loss: 4.053541324138641 | trans loss: 4.053541324138641
total loss: 4.09473162651062 | trans loss: 4.09473162651062
total loss: 4.029237313270569 | trans loss: 4.029237313270569
total loss: 4.004709937572479 | trans loss: 4.004709937572479
total loss: 4.057175939083099 | trans loss: 4.057175939083099
total loss: 4.038734328746796 | trans loss: 4.038734328746796
total loss: 4.070527641773224 | trans loss: 4.070527641773224
total loss: 4.072559735774994 | trans loss: 4.072559735774994
total loss: 4.01677508354187 | trans loss: 4.01677508354187
total loss: 4.019544050693512 | trans loss: 4.019544050693512
total loss: 4.04089031457901 | trans loss: 4.04089031457901
total loss: 4.0372586131095884 | trans loss: 4.0372586131095884
total loss: 4.0228393316268924 | trans loss: 4.0228393316268924
total loss: 4.074903409481049 | trans loss: 4.074903409481049
total loss: 4.007211878299713 | trans loss: 4.007211878299713
total loss: 4.021345112323761 | trans loss: 4.021345112323761
total loss: 4.002193255424499 | trans loss: 4.002193255424499
total loss: 4.037853615283966 | trans loss: 4.037853615283966
total loss: 3.989753704071045 | trans loss: 3.989753704071045
total loss: 4.011735286712646 | trans loss: 4.011735286712646
total loss: 4.01008903503418 | trans loss: 4.01008903503418
total loss: 4.002222752571106 | trans loss: 4.002222752571106
total loss: 4.050845642089843 | trans loss: 4.050845642089843
total loss: 4.006899302005768 | trans loss: 4.006899302005768
total loss: 4.009865052700043 | trans loss: 4.009865052700043
total loss: 4.037655913829804 | trans loss: 4.037655913829804
total loss: 4.01698938369751 | trans loss: 4.01698938369751
total loss: 3.994745578765869 | trans loss: 3.994745578765869
total loss: 4.005973732471466 | trans loss: 4.005973732471466
total loss: 3.9806639051437376 | trans loss: 3.9806639051437376
total loss: 3.9653051257133485 | trans loss: 3.9653051257133485
total loss: 3.9990912222862245 | trans loss: 3.9990912222862245
total loss: 3.9596894216537475 | trans loss: 3.9596894216537475
total loss: 4.001718406677246 | trans loss: 4.001718406677246
total loss: 3.987893571853638 | trans loss: 3.987893571853638
{'lr': np.float64(8.95993398309605e-05),
 'total_loss': np.float64(4.193850318694115),
 'trans_loss': np.float64(4.193850318694115)}
Rank [0], Epoch [1]: Training on train dataset
 32%|███▏      | 3199/10000 [1:35:00<3:17:04,  1.74s/it]
total loss: 4.023712682723999 | trans loss: 4.023712682723999
total loss: 4.013395254611969 | trans loss: 4.013395254611969
total loss: 4.01284955739975 | trans loss: 4.01284955739975
total loss: 3.9822916340827943 | trans loss: 3.9822916340827943
total loss: 3.9936242628097536 | trans loss: 3.9936242628097536
total loss: 3.9686942863464356 | trans loss: 3.9686942863464356
total loss: 3.962915213108063 | trans loss: 3.962915213108063
total loss: 3.9780639028549194 | trans loss: 3.9780639028549194
total loss: 3.993919928073883 | trans loss: 3.993919928073883
total loss: 4.0091371774673465 | trans loss: 4.0091371774673465
total loss: 3.9777794814109804 | trans loss: 3.9777794814109804
total loss: 3.97356062412262 | trans loss: 3.97356062412262
total loss: 3.977600555419922 | trans loss: 3.977600555419922
total loss: 3.9483130145072938 | trans loss: 3.9483130145072938
total loss: 3.988761372566223 | trans loss: 3.988761372566223
total loss: 3.9869117879867555 | trans loss: 3.9869117879867555
total loss: 3.9800389885902403 | trans loss: 3.9800389885902403
total loss: 3.95173095703125 | trans loss: 3.95173095703125
total loss: 4.006223459243774 | trans loss: 4.006223459243774
total loss: 3.994446454048157 | trans loss: 3.994446454048157
total loss: 3.9753979206085206 | trans loss: 3.9753979206085206
total loss: 4.02377188205719 | trans loss: 4.02377188205719
total loss: 3.9772450304031373 | trans loss: 3.9772450304031373
total loss: 3.9662451267242433 | trans loss: 3.9662451267242433
total loss: 3.9709904956817628 | trans loss: 3.9709904956817628
total loss: 3.9773096227645874 | trans loss: 3.9773096227645874
total loss: 3.9654975008964537 | trans loss: 3.9654975008964537
total loss: 3.981789238452911 | trans loss: 3.981789238452911
total loss: 3.94368905544281 | trans loss: 3.94368905544281
total loss: 3.969458005428314 | trans loss: 3.969458005428314
total loss: 3.959591956138611 | trans loss: 3.959591956138611
total loss: 3.9845129871368408 | trans loss: 3.9845129871368408
total loss: 3.937991499900818 | trans loss: 3.937991499900818
total loss: 3.945882804393768 | trans loss: 3.945882804393768
total loss: 3.9597919821739196 | trans loss: 3.9597919821739196
total loss: 3.982679421901703 | trans loss: 3.982679421901703
total loss: 3.9519131731987 | trans loss: 3.9519131731987
total loss: 3.9760053181648254 | trans loss: 3.9760053181648254
total loss: 3.9480191564559934 | trans loss: 3.9480191564559934
